pmid,title,pubdate,source,authors
41928453,Sialic acid cis-ligand dynamics modulate Siglec-7 and -9 function and affect Siglec-7/9 co-blockade to potentiate natural killer cell anti-tumor activity.,2026 Dec 31,Oncoimmunology,van Eck van der Sluijs J; Valk AHC; van Houtum EJH; Kers-Rebel ED; Looman M; Hobo W; Marneth AE; Dolstra H; van den Boogaard L; Büll C; Cornelissen LAM; Adema GJ
41913413,Integrating tumor and immune cell transcriptomics to predict immune checkpoint inhibitor primary resistance in metastatic melanoma.,2026 Dec 31,Oncoimmunology,Onieva JL; Pérez-Ruiz E; Vilkki V; Berciano-Guerrero M; Figueroa-Ortiz L; Zalabardo M; Martínez-Gálvez B; Barragán I; Rueda-Domínguez A
41879036,Molecular mechanisms and therapeutic strategies: DNA methylation in pancreatic cancer.,2026 Dec 31,Cancer Biol Ther,Liu J; Xie J; Ding Y
41872676,Sex determines the natural killer cell-mediated immunity against pancreatic cancer.,2026 Dec 31,Oncoimmunology,Arlt E; Bley N; Rausch A; Hauser S; Pietzsch J; Misiak D; Liehr T; Kankel S; Dautz T; Dreher L; Kǒng X; Kielstein H; Bazwinsky-Wutschke I
41851965,Immunogenicity of neoantigens from hepatocellular carcinoma patients treated with a combined radioimmunotherapy.,2026 Dec 31,Oncoimmunology,Aparicio B; Silva L; Ruiz M; Llópiz D; Repáraz D; Theunissen P; Tamayo I; Egea J; Igea A; Smerdou C; Peñas M; Perpiñá C; Matilla A; Varela M; Reig M; de la Torre-Alaez M; Argemí J; Sangro B; Hervás-Stubbs S; Sarobe P
41841642,Platelets induce VISTA expression and modulate the ovarian tumor microenvironment.,2026 Dec 31,Platelets,Lee H; Sager B; Sood A; Afshar-Kharghan V; Cho MS
41814475,Research progress on the compositional characteristics of the tumor immune microenvironment and immunopredictive models in esophageal squamous cell carcinoma.,2026 Dec 31,Cancer Biol Ther,Wang G; Li Z; Tan S; Ma J; Yin Z; Du J; Fan L
41800715,Immunotherapy impact of macrophage glycosylation on cholangiocarcinoma and its prognostic and immune microenvironment significance.,2026 Dec 31,Hum Vaccin Immunother,Xu Y; Xu X; Xu Y; Duan J
41797299,KRAS-elicited PDIA6 blocks PERK-dependent immunogenic cell death in pancreatic carcinoma.,2026 Dec 31,Oncoimmunology,Zhao L; Liu P; Kroemer G; Kepp O
41792971,B cells and humoral immunity in melanoma: regulatory and autoimmune-like features and implications for immunotherapy.,2026 Dec 31,Oncoimmunology,Booth L; Mahmood M; Chen X; Jacków-Malinowska J; Tsoka S; Tull TJ; Karagiannis SN
41772940,Steroid receptor coactivator 3-deficient regulatory T cells eradicate multiple solid tumors in syngeneic mouse models.,2026 Dec 31,Oncoimmunology,Sung N; Kim E; Gilad Y; Park Y; Dean AM; Xia Y; Xu J; Dacso CC; Lonard DM; Han SJ
41732954,A mixed inflammatory peripheral signature defines clinical outcomes in a phase II trial combining pembrolizumab with paclitaxel and carboplatin in melanoma.,2026 Dec 31,Oncoimmunology,Lambert C; Jamal R; Thébault P; Cocolakis E; Bélanger K; Dionne J; Cailhier JF; Le H; Letendre C; Lepage S; Shechtman Y; Lapointe R; Miller WH Jr
41729615,Identification of the immune-related diagnostic biomarkers between Graves' disease and thyroid carcinoma based on comprehensive bioinformatics analysis and machine learning.,2026 Dec 31,Autoimmunity,Zhu Y; Qu X; Pan J; Zeng H; Yu Z; Geng X; Zheng H; Huang S; Huang D; Xie R
41700001,Trial Watch - bispecific T cell engagers and higher-order multispecific immunotherapeutics.,2026 Dec 31,Oncoimmunology,Xue E; Deng X; Doffe F; Kroemer G; Kepp O
41686169,"Vaccination in patients with cancer: Gaps in coverage, barriers, and the role of clinician recommendations.",2026 Dec 31,Hum Vaccin Immunother,Kayaalp M; Akkuş E; Arslan Ç; Hacıoğlu MB; Semiz HS; Ürün Y
41634558,The double face of IL-1β in lung cancer.,2026 Dec 31,Oncoimmunology,Rébé C; Perrichet A; Ghiringhelli F
41614438,CAR T therapy in adult DLBCL patients in Slovenia: Evaluation of predictive scores for outcomes and adverse events.,2026 Dec 31,Hum Vaccin Immunother,Sršen L; Auersperger I; Janžič L; Kopitar AN; Reberšek K; Jezeršek Novaković B; Novak P; Rener K; Šlajpah K; Ihan A; Zver S; Sever M
41582518,In vitro generated macrophages reflect the immunosuppressive phenotype of in vivo glioblastoma-associated macrophages.,2026 Dec 31,Oncoimmunology,Nazzaro M; Mardis ER; Artomov M; Juenger E; Lyberger J; Damante M; Behbehani G; Sarkar S; Rajappa P
41560593,Killing cancer takes guts: lessons learned from the manipulation of gut microbiome and immunotherapy for the future of urothelial carcinoma.,2026 Dec 31,Oncoimmunology,Reddy N; Lau K; Naman J; Lu K; McGillivary E; Salmasi A; Liss M; Stewart T
41521447,Radiotherapy-induced abscopal effects in immune checkpoint inhibitor-refractory metastatic disease: results from a large multicenter real-world cohort study.,2026 Dec 31,Oncoimmunology,Trommer M; Rühle A; Lamrani A; Frei C; Kaufmann J; Mäurer M; Wurschi G; Jiang P; Ehret F; Baehr A; Hardt A; Bodensohn R; Käsmann L; Waltenberger M; Gkika E; Layer JP; Scafa D; Troost EGC; Elkhamisy SA; Jazmati D; Popp I; Neppl S; Hagemeier A; Ferdinandus S
41521424,DNA prime and peptide boost immunization elicits robust neoantigen-specific CD8 (+) T cell responses and therapeutic protection in mouse tumor models.,2026 Dec 31,Oncoimmunology,Morgado-Cáceres P; Hofmann-Vega F; Figueroa D; Saavedra-Almarza J; Gálvez-Cancino F; Díaz X; Menares E; Roa E; Hidalgo S; Varas-Godoy M; Borgna V; Lladser A
41496551,Oncolytic virus OVV-03 enhances CAR-T cell therapy against glioblastoma via immune modulation and specific HER2 upregulation.,2026 Dec 31,Oncoimmunology,Tang Y; E Q; Ma L; Li X; Zhang Y; Wang W; Jiang Z; Zhang X; Hou Y; Du J; Zhu Y; Dong H; Xu Y; Tian T; Cheng L; Ma Q; Li J; Zhou G; Huang Y
