pmid,title,abstract
42416056,Identification and validation of biomarkers related to mismatch repair for prognosis prediction in glioma.,"BACKGROUND: Gliomas are aggressive brain tumors with a dismal prognosis, and their development, progression, and responsiveness to treatment are all impacted by mismatch repair (MMR) deficiency. This work aimed to construct a predictive risk model based on MMR-related genes and confirm its clinical applicability, with a focus on identifying novel therapeutic targets. METHODS: Clinical and mRNA expression data from The Cancer Genome Atlas (TCGA) and The Chinese Glioma Genome Atlas (CGGA) glioma patients were analyzed. MMR-related genes were sourced from the Molecular Signatures Database (MSigDB). A risk score model was created using multivariate Cox regression and LASSO analysis. Patients were categorized into high- and low-risk groups based on the median risk score. The model's performance was assessed using ROC curves, AUC, and Kaplan-Meier survival analysis. Immune cell infiltration was quantified using ""CIBERSORT"" and ""QUANTISEQ"". Immunotherapy potential was evaluated via TMB, TME, and TIDE scores. The half maximal inhibitory concentration (IC 50 ) analyses were performed. In vitro validation involved MCM8 overexpression/knockdown in U251/LN229 glioma cells, followed by TMZ sensitivity testing via CCK-8 assays. RESULTS: An eight-MMR-related gene prognostic model (HMGB1, MCM8, MUTYH, PMS1, RNASEH2B, RNASEH2C, RPA3, TP73) was constructed. The risk score was an independent prognostic factor, with high-risk patients showing significantly poorer overall survival. The validity of this model has been validated in the CGGA dataset. Significant differences in immune infiltration, TME, and TMB scores were observed between risk groups. Drug sensitivity analysis revealed distinct IC 50 profiles for chemotherapeutic agents between the groups. Most importantly, in vitro experiments demonstrated that MCM8 overexpression increased glioma cell sensitivity to TMZ, while MCM8 knockdown decreased it, identifying MCM8 as a potential target for TMZ-based personalized therapy. CONCLUSION: This study establishes a robust MMR-related prognostic model for glioma that effectively stratifies patients, predicts survival, and reflects distinct immune microenvironments. Critically, we identify MCM8 as a novel and actionable biomarker that modulates TMZ sensitivity, offering a promising avenue for personalized treatment in glioma patients."
42415935,"Effectiveness and Safety of Anlotinib with or without PD-1 Blockades in Patients with Platinum-Resistant or Immunotherapy-Resistant Recurrent/Metastatic Nasopharyngeal Carcinoma: A Retrospective, Real-World Study.","PURPOSE: For recurrent or metastatic nasopharyngeal carcinoma (R/M-NPC) that has progressed after platinum-based chemotherapy or immunotherapy, treatment options are limited. This real-world study evaluated the effectiveness and safety of anlotinib, alone or combined with PD-1 inhibitors, in patients with platinum-resistant or PD-1 inhibitor-resistant R/M-NPC. PATIENTS AND METHODS: This retrospective, single-center study included 86 patients with R/M-NPC who received at least one cycle of anlotinib-based therapy between November 2018 and March 2024. Patients were divided into anlotinib monotherapy (n=53) and anlotinib plus PD-1 blockade combination groups (n=33). The primary endpoint was objective response rate (ORR). Secondary endpoints included disease control rate (DCR), progression-free survival (PFS), overall survival (OS), and safety. RESULTS: The ORR was significantly higher in the combination group than in the monotherapy group (30.30% vs 7.55%, P =0.013). DCR was also superior with combination therapy (87.90% vs 62.30%, P =0.02). Median PFS was 8.93 months for combination therapy versus 5.13 months for monotherapy ( P =0.011); median OS was 12.97 months versus 8.73 months ( P =0.001), respectively. In the subgroup of patients with prior immune checkpoint inhibitor therapy, the combination regimen maintained a numerically higher ORR (50.00% vs 13.60%, P =0.028), a longer PFS (mPFS: 9.57 vs 5.12 months, P =0.036) and OS (mOS: 12.97 vs 8.23 months, P =0.009), compared to monotherapy. Treatment-related adverse events (TRAEs) occurred in 54.65% of patients, with most being grade 1-2. Grade 3 TRAEs were reported in 6 patients; no grade 4 TRAEs or treatment-related deaths occurred. CONCLUSION: Anlotinib plus PD-1 blockade significantly improved antitumor activity versus monotherapy in platinum- or PD-1 inhibitor-resistant R/M NPC, with acceptable safety. The favorable trends seen in the immunotherapy-pretreated subgroup are preliminary. These findings support the further evaluation of this combination as a promising therapeutic option in this challenging patient population."
42415671,Phase I first-in-human dose-escalation trial of a bladder cancer-specific nanoparticle in non-muscle-invasive bladder cancer.,"OBJECTIVES: Non-muscle-invasive bladder cancer (NMIBC) refractory to Bacillus Calmette-Guérin (BCG) treatment recurs frequently, even with recent approved therapies. We developed a novel, solvent-free, cancer-specific nanoparticle, PLZ4-coated paclitaxel-loaded micelles (PPM), designed for targeted drug delivery and enhanced efficacy. PLZ4 is a bladder cancer-specific peptide that is decorated on the micelle surface of PPM for cancer-specific drug delivery, while paclitaxel is encapsulated for cytotoxic activity. This first-in-human, single-arm Phase I trial aims to evaluate safety, toxicity, and establish the recommended Phase II dose (RP2D) of intravesical PPM in patients with BCG-unresponsive or intolerant NMIBC. METHODS: Eligible patients have BCG-unresponsive NMIBC with adequate organ function and performance status. Up to 29 participants will be enrolled in the dose-escalation and expansion cohorts. PPM is administered intravesically once weekly for 6 weeks at paclitaxel doses of 25 mg (0.5 mg/mL), 50 mg (1.0 mg/mL), or 75 mg (1.5 mg/mL) in normal 0.9% saline, regardless of patient body size or weight. Primary endpoints are safety and determination of RP2D, using the National Cancer Institute Common Terminology Criteria for Adverse Events (CTCAE v5.0) for toxicity assessment. Efficacy is evaluated via cystoscopy and urine cytology at 6 weeks post-intervention. PRELIMINARY RESULTS: Three BCG-unresponsive patients have been enrolled and finished treatment at the first dose level. No drug-related adverse event was observed. Two out of these first three patients achieved complete remission. The study is still open for enrollment. CLINICAL TRIAL REGISTRATION: NCT05519241. Bladder cancer is a common disease, especially among Veterans. For many patients, cancer stays on the inner surface layer of the bladder (non-muscle-invasive). The standard treatment is resection plus an immunotherapy called Bacille Calmette-Guérin (BCG). However, cancer often recurs in many patients. If it keeps returning, doctors may have to remove the entire bladder, which is a major surgery and associated with significant morbidities. We test a new “smart” medicine called PPM. PPM is made of tiny particles, less than one-thousandth the diameter of a hair, that carry a cancer-killing drug called paclitaxel. These particles have a special “sensor” named PLZ4 on the surface and work like precision-guided munitions. After instillation of PPM into the bladder cavity, PLZ4 can specifically target and deliver PPM together with the paclitaxel drug load into cancer cells while sparing the healthy parts of the bladder alone. This study assesses the toxicity profile of PPM and determines the appropriate dose for future clinical trials. Additionally, it evaluates the efficacy of PPM in patients with non-muscle-invasive bladder cancer who have not responded to BCG treatment."
42415479,Moving Beyond the Female-Only Paradigm: Arguments for Accelerating the Global Gender-Neutral Human Papillomavirus Vaccination.,"Since its adoption into public health programmes in 2006, the Human Papillomavirus (HPV) vaccine has proven its powerful effect in preventing cervical cancer, the most prevalent HPV-associated cancer. Nevertheless, a considerable burden of HPV infection is associated with non-cervical cancers and conditions that, due to a historically gendered narrative around HPV vaccination, are still partially neglected in most preventive agendas. Gender-neutral vaccination (GNV) programmes have been steadily adopted in an increasing number of countries, but global endorsement of this strategy is still being delayed, especially in low- and middle-income countries (LMICs). In this perspective paper, we advocate for an accelerated global shift from female-only to universal, gender-neutral HPV vaccination. This perspective analyses how a GNV strategy addresses the rising burden of non-cervical cancers, promotes gender justice for vulnerabilised groups, and strengthens population-wide herd immunity amidst shifting global funding and healthcare disparities, particularly in LMICs. Further, a gender-neutral approach could also strengthen programme resilience in settings where female vaccination coverage remains far below the elimination targets. The case of HPV vaccination shows that women-only public health interventions can further exacerbate the stigmatisation of women in society and, rather than improving women's health, amplify inequity. We believe that the experience with the HPV vaccine can play a significant role in demonstrating that women-specific vaccination programmes can have unintended consequences: whilst they may improve specific health outcomes, they simultaneously cause social harm to the sex groups they intend to protect, thereby failing to address broader health outcomes across the global society as a whole."
42415463,Elranatamab: A novel B-cell maturation T-cell engager.,"B-cell maturation antigen (BCMA) is a highly expressed transmembrane receptor on malignant plasma cells, mediating cell survival. These characteristics make it an attractive target for novel cellular and immunotherapies. Elranatamab is a bispecific antibody targeting BCMA on plasma cells and CD3 on T cells. This leads to immune cell activation and the release of granzymes and perforins, with attendant killing of target cells. Overactivation of the immune system can lead to cytokine release syndrome (CRS) and immune cell associated neurotoxicity syndrome (ICANS). Compared to similar agents, elranatamab has a favorable safety profile with robust efficacy. It is currently approved for relapsed/refractory multiple myeloma with clinical trials evaluating its use in combination and in earlier lines of therapy."
42415153,From tumor targeting to tumor accessibility: surface-engineered bacteria as precision living therapeutics for translational medicine.,"The concept of bacterial therapy dates back over a century to clinical observations that incidental infections could induce tumor regression. Recent advances in genetic engineering and synthetic biology have since transformed bacteria into versatile living therapeutics with significant preclinical potential against diseases such as cancer, inflammatory disorders, and metabolic conditions. However, clinical translation faces considerable hurdles. Here, we provide a clinically oriented perspective on the translational gap in bacterial therapy. Drawing inspiration from the success of antibody-drug conjugates in achieving precise payload delivery, we highlight an emerging paradigm of ""precision living therapeutics"" enabled by bacterial surface engineering. we propose the concept of ""Tumor accessibility"" for the first time, and identify its insufficiency as a critical bottleneck in current therapeutic applications. We then systematically summarize recent advances in bacterial surface engineering, encompassing physical, chemical, and biological strategies, with a focus on their capacity to evade immune clearance, enhance tumor colonization, and improve therapeutic performance. Chemical approaches primarily involve covalent conjugation, including the SpyTag/SpyCatcher system and bioorthogonal click chemistry-based metabolic labeling. Physical strategies center on cell membrane encapsulation and surface coatings such as layer-by-layer encapsulation. Biological strategies include cell camouflage and genetic modulation of surface structures, display of functional biomolecules, and affinity-based systems such as biotin-streptavidin interactions. Finally, we discuss integrative strategies that combine surface-engineered bacteria with conventional treatment modalities, including physical therapy, chemotherapy, and immunotherapy. We propose that future clinical translation of bacterial therapy should shift from localized modification design to a holistic consideration of systemic accessibility."
42415124,Clinical rationale for thymic restoration in adult immunosenescence.,"Age-related thymic involution is a central feature of immunosenescence and intersects with multiple ""hallmarks of aging"", including genomic instability, telomere attrition, mitochondrial dysfunction, and chronic inflammation. The decline in thymic epithelial integrity and FOXN1-driven thymopoiesis reduces naïve T-cell output, contracts TCR repertoire diversity, and perturbs central tolerance, contributing to increased susceptibility to infection, cancer, and autoimmunity. These changes occur alongside broader immune-aging phenomena such as inflammaging and frailty and are reflected in poorer vaccine responses and altered outcomes to novel pathogens such as SARS-CoV‑2. This review integrates mechanistic, preclinical, and human data to reassess the adult thymus as a therapeutic target. Higher-confidence domains for thymic restoration include cancer immunosurveillance, infectious disease vulnerability, vaccine responsiveness, and post-treatment immune reconstitution, supported by modeling of age-related disease incidence, transplant and HIV cohorts, and new observational links between radiographic thymic health, mortality, and immunotherapy outcomes. High-plausibility but less directly validated domains include autoimmunity, chronic herpesvirus control, HIV immunological non-responders, and post-acute infection syndromes such as long COVID, which share convergent patterns of T-cell dysfunction and persistent immune activation. The translational landscape spans hormonal and somatotropic modulation (sex steroid ablation, growth hormone/ghrelin), cytokine and growth-factor strategies (IL‑7, IL‑22, KGF/BMP4, FGF21), cell- and tissue-engineering approaches leveraging thymic epithelial stem cells and FOXN1-reprogrammed stromal cells, and gene-therapy concepts such as intrathymic AAV delivery of FOXN1, AIRE, chemokines, and stromal-support pathways. Collectively, these data support the biological plausibility of adult thymus restoration but highlight that robust, domain-specific clinical benefits have not yet been demonstrated in controlled trials. Future work should prioritize harmonized structural and functional biomarkers, domain-focused interventional studies in high-risk populations, and combined strategies that situate thymus-directed interventions within broader efforts to modify immune and organismal aging."
42414637,From developmental origins to relapse: molecular and therapeutic insights in medulloblastoma.,"Medulloblastoma (MB) is the most common malignant pediatric brain tumor. The increasing emphasis in genomic research within recent decades has shined a spotlight on the genomic and epigenetic landscape of this disease. Through methylome and transcriptome data from large MB patient cohorts, four discrete molecular subgroups and their respective subtypes have been identified, each with differing molecular and clinical characteristics. In this review, we outline recent discoveries concerning MB subgroups and subtypes, and how they have informed new epigenetic, radiation, and immunological therapeutic approaches. Although these discoveries have guided the de-escalation of low-risk molecular subgroups, to date, no subgroup-specific therapeutic strategies have been implemented in the clinic. Currently, a paucity of tractable molecular alterations and preclinical models has been a major barrier for the development of meaningful MB therapies. A strong focus on elucidating these gaps in knowledge will allow for the development of tailored therapies for high-risk MB and metastatic recurrence."
42414255,Aging and cancer: current understandings and future perspectives.,"Deciphering the mechanistic links between aging and cancer remains a central challenge in biomedical research. This review begins by presenting recent epidemiological data on cancer incidence across age groups, underscoring the complex and paradoxical interplay between aging and cancer. A systematic analysis follows four core signaling pathways that underpin both aging and cancer: (i) nutrient sensing and energy metabolism pathways, (ii) stress response and genome maintenance pathways, (iii) inflammatory and microenvironmental pathways, and (iv) sirtuin-mediated epigenetic and transcriptional modulation pathways. Each pathway is analyzed regarding its distinct and overlapping roles in aging and cancer, with exploration of strategies for comodulating these shared mechanisms to simultaneously mitigate both conditions. Established and emerging druggable targets within these pathways are highlighted, offering new perspectives for future therapeutic development. Current integrative strategies to achieve concurrent antiaging and anticancer effects include targeting cellular nutrient sensing and metabolism, enhancing genomic integrity, suppressing chronic inflammation, clearing senescent cells, and modulating epigenetic programs. Finally, the impact of aging on cancer therapy, particularly immunotherapy, is discussed, along with a review of representative aging-related pathways and genes and their roles in modulating immunotherapy efficacy. Analysis of agents targeting each pathway spanning preclinical studies, clinical trials, and clinically approved drugs reveals disparities in the research progress between anti-aging and anticancer applications. Consequently, a promising future strategy for drug discovery lies in repurposing well-established anticancer agents for antiaging interventions, as well as translating insights from aging research into novel antitumor therapies, thereby achieving synergistic benefits in both fields."
42414127,Approach to the hepato-gastric region in gynecological malignancies.,
42413882,Harnessing multispecific antibodies for next-generation cancer treatments.,"Multispecific antibodies (MsAbs), capable of targeting multiple antigens simultaneously, are regarded as the 2.0 version of monoclonal antibodies (mAbs), providing therapeutic benefits that significantly exceed those of mAbs. This enhanced functionality makes MsAbs a particularly promising strategy for treating solid tumors. In this comprehensive review, we summarize diverse targeting strategies, clinical trial outcomes, and existing hurdles, while proposing novel directions to enhance the development of MsAbs for overcoming the immunosuppressive tumor microenvironment (TME). Based on their therapeutic mechanisms, we categorize their actions into six principles: 1) blocking various oncogenic signaling pathways; 2) activating and redirecting cytotoxic immune cells toward tumor cells; 3) enhancing macrophage-mediated phagocytosis; 4) targeting immune checkpoints to alleviate immunosuppression; 5) modulating matrix components within the immunosuppressive TME; and 6) promoting immune cell infiltration and localized cytokine signaling. In addition, the integration of MsAbs with sophisticated technologies has opened new avenues for enhancing therapeutic efficacy. These approaches include antibody-degrader conjugates, chimeric antigen receptor T cell (CAR-T) therapies, antibody-oncolytic virus combinations, nanomaterial-based delivery systems, and messenger RNA (mRNA)-based technologies. Such innovative strategies highlight the transformative potential of MsAbs, positioning them at the forefront of next-generation cancer immunotherapies."
42413814,Tertiary Lymphoid Structures and Hepatocellular Carcinoma: Guardian and Executioner.,"Tertiary lymphoid structures (TLS) are essential immune components within the tumor microenvironment. The cellular composition, heterogeneity, and maturity of TLS are closely associated with tumor progression, response to therapy, and patient prognosis. Although numerous studies have highlighted the antitumor potential of TLS, their role can vary-either inhibiting or promoting tumor growth-depending on the specific microenvironment or disease stage. Hepatocellular carcinoma (HCC), the most common and aggressive primary liver cancer, frequently resists immune checkpoint therapy. In this context, inducing antitumor TLS has emerged as a key strategy to remodel the immune microenvironment, overcome drug resistance, and enhance the effectiveness of HCC immunotherapy. This review outlines the cellular composition and formation process of TLS, compares TLS in liver cancer with those in other cancer types, and explores their roles in HCC pathogenesis, progression, and treatment. These findings are expected to provide novel therapeutic strategies for enhancing the efficacy of immunotherapy in liver cancer."
42413629,Identification of TYK2 activators. Part 2: Optimization of terminal alkyne substituents to enhance activation potency.,"Tyrosine kinase 2 (TYK2) plays a key role in immune signaling, and its inhibition has been clinically validated for autoimmune diseases. Conversely, activation of TYK2 is expected to enhance antitumor immunity, representing a novel therapeutic strategy in cancer immunotherapy. In our previous study, we identified compound 2, an alkyne-containing derivative, as a novel TYK2 activator through a scaffold-repurposing design strategy based on a known TYK2 inhibitor that binds to the JH2 pseudokinase domain. Here, we expanded our SAR study to explore substituents at the terminal alkyne position based on JH2-domain docking study results. We found the phenylalkyne analog 6 g was the most potent activator, with an EC 50 of 0.21 μM and a maximal activation effect (Emax) of 7.8-fold."
42413504,Framework for evaluating in vitro vasculogenic mimicry using structural and metabolic parameters.,"Vasculogenic mimicry (VM) refers to the ability of non-endothelial cells to form fluid-conducting, vessel-like structures independently of endothelial cells. In cancer, VM is associated with tumor aggressiveness and poor prognosis, although similar structures may also be formed by non-cancerous cells. Here, we systematically screened more than 23 human and murine cell lines, including diverse cancer types, fibroblasts, and primary-tumor-derived cells, identifying cell types capable or incapable of VM formation. Using confocal microscopy and 3D reconstruction, we define in vitro VM as the formation of lumen-containing tubular structures by non-endothelial cells, distinguishing this phenomenon from simple cellular clustering or alignment. Importantly, cell types capable of confirmed VM in vitro corresponded closely with previous findings in mouse xenograft models. We further provide a practical protocol for screening VM capacity and demonstrate that cell density, glucose concentration, serum availability, and matrix stiffness are critical environmental determinants of VM formation."
